SubDiv,SubDivCode,Total_Meters,Meters_Installed_Already
SAMASTIPUR URBAN,1131,10.0,0
SAMASTIPUR RURAL,1132,90270.0,0
KALYANPUR,1133,64660.0,0
PUSA,1134,46925.0,0
ROSERA,1141,40280.0,0
BIBHUTIPUR,1142,74193.0,0
DALSINGHSARAI,1151,80412.0,0
MOHIUDDIN NAGAR,1152,68847.0,0
SARAIRANJAN,1153,84050.0,0
HAJIPUR URBAN,1211,4.0,0
MAHNAR,1213,53971.0,0
BIDDUPUR,1214,31512.0,0
HAJIPUR_RURAL,1216,59246.0,0
JANDAHA,1217,48346.0,0
CHAPRA URBAN,1241,7.0,0
CHAPRA RURAL,1242,111633.0,0
BANIYAPUR,1243,113113.0,0
EKMA,1244,87904.0,0
MARHAURAH,1251,69031.0,0
SONPUR,1252,92630.0,0
SHEETALPUR,1253,65342.0,0
MASHRAKH,1254,118689.0,0
GOPALGANJ,1261,14995.0,0
BARAULI,1264,25431.0,0
BAIKUNTHPUR,1265,28296.0,0
SIWAN URBAN,1271,7.0,0
SIWAN RURAL,1272,112179.0,0
MAIRWA,1273,70236.0,0
RAGHUNATHPUR,1275,68767.0,0
MAHUA,1331,82770.0,0
LALGANJ,1332,41672.0,0
DABHAICH,1333,65134.0,0
GORAUL,1334,82301.0,0
MIRGANJ,1421,44936.0,0
KUCHAIKOT,1422,87659.0,0
BHORE,1423,63319.0,0
MAHARAJGANJ,1431,59147.0,0
BASANTPUR,1432,112905.0,0
PACHRUKHI,1433,88048.0,0
